,compound_ID
1,D06238
2,D05458
3,D05407
4,D05353
5,D05341
6,D04983
7,D04966
8,D04292
9,D04197
10,D04092
11,D04031
12,D04029
13,D04028
14,D04025
15,D04024
16,D04023
17,D03899
18,D03882
19,D03845
20,D03829
21,D03828
22,D03826
23,D03823
24,D03822
25,D03816
26,D03807
27,D03806
28,D03805
29,D03803
30,D03798
31,D03788
32,D03787
33,D03784
34,D03781
35,D03778
36,D03776
37,D03775
38,D03773
39,D03772
40,D03769
41,D03767
42,D03765
43,D03763
44,D03760
45,D03758
46,D03756
47,D03753
48,D03752
49,D03751
50,D03745
51,D03743
52,D03741
53,D03738
54,D03736
55,D03735
56,D03734
57,D03733
58,D03731
59,D03728
60,D03722
61,D03720
62,D03717
63,D03716
64,D03714
65,D03712
66,D03710
67,D03689
68,D03670
69,D03643
70,D03601
71,D03440
72,D03433
73,D03365
74,D03350
75,D03260
76,D03252
77,D03218
78,D03217
79,D03208
80,D03115
81,D03077
82,D03034
83,D03012
84,D02880
85,D02835
86,D02769
87,D02756
88,D02731
89,D02729
90,D02709
91,D02698
92,D02671
93,D02655
94,D02581
95,D02580
96,D02579
97,D02566
98,D02564
99,D02563
100,D02562
101,D02561
102,D02560
103,D02559
104,D02558
105,D02556
106,D02487
107,D02451
108,D02441
109,D02418
110,D02375
111,D02368
112,D02356
113,D02355
114,D02350
115,D02342
116,D02341
117,D02335
118,D02333
119,D02328
120,D02323
121,D02321
122,D02315
123,D02308
124,D02304
125,D02290
126,D02289
127,D02267
128,D02258
129,D02229
130,D02214
131,D02194
132,D02193
133,D02176
134,D02173
135,D02168
136,D02166
137,D02115
138,D02110
139,D02068
140,D02042
141,D02017
142,D02008
143,D01984
144,D01981
145,D01977
146,D01974
147,D01973
148,D01968
149,D01966
150,D01918
151,D01915
152,D01911
153,D01907
154,D01900
155,D01888
156,D01885
157,D01866
158,D01862
159,D01844
160,D01842
161,D01840
162,D01828
163,D01825
164,D01811
165,D01767
166,D01765
167,D01747
168,D01718
169,D01715
170,D01712
171,D01709
172,D01704
173,D01690
174,D01688
175,D01667
176,D01665
177,D01582
178,D01578
179,D01565
180,D01549
181,D01547
182,D01513
183,D01475
184,D01441
185,D01432
186,D01425
187,D01397
188,D01370
189,D01367
190,D01364
191,D01346
192,D01332
193,D01325
194,D01276
195,D01275
196,D01264
197,D01256
198,D01240
199,D01228
200,D01223
201,D01211
202,D01198
203,D01196
204,D01183
205,D01180
206,D01164
207,D01136
208,D01133
209,D01122
210,D01119
211,D01118
212,D01097
213,D01071
214,D01069
215,D01064
216,D01061
217,D01027
218,D01001
219,D00998
220,D00995
221,D00994
222,D00970
223,D00969
224,D00968
225,D00965
226,D00964
227,D00963
228,D00960
229,D00947
230,D00904
231,D00903
232,D00902
233,D00900
234,D00893
235,D00892
236,D00889
237,D00887
238,D00885
239,D00884
240,D00882
241,D00829
242,D00827
243,D00826
244,D00813
245,D00810
246,D00805
247,D00786
248,D00785
249,D00781
250,D00771
251,D00762
252,D00753
253,D00752
254,D00749
255,D00733
256,D00726
257,D00709
258,D00703
259,D00691
260,D00670
261,D00667
262,D00658
263,D00656
264,D00655
265,D00654
266,D00653
267,D00652
268,D00651
269,D00650
270,D00630
271,D00625
272,D00624
273,D00623
274,D00622
275,D00621
276,D00620
277,D00596
278,D00593
279,D00584
280,D00579
281,D00577
282,D00574
283,D00569
284,D00568
285,D00567
286,D00566
287,D00563
288,D00562
289,D00560
290,D00550
291,D00549
292,D00547
293,D00546
294,D00545
295,D00544
296,D00543
297,D00542
298,D00538
299,D00537
300,D00536
301,D00535
302,D00533
303,D00530
304,D00528
305,D00521
306,D00519
307,D00518
308,D00516
309,D00515
310,D00513
311,D00512
312,D00510
313,D00505
314,D00503
315,D00501
316,D00496
317,D00494
318,D00488
319,D00487
320,D00475
321,D00463
322,D00459
323,D00455
324,D00454
325,D00452
326,D00451
327,D00449
328,D00448
329,D00437
330,D00434
331,D00425
332,D00423
333,D00421
334,D00418
335,D00417
336,D00416
337,D00414
338,D00410
339,D00401
340,D00398
341,D00394
342,D00391
343,D00387
344,D00383
345,D00380
346,D00377
347,D00371
348,D00369
349,D00364
350,D00362
351,D00359
352,D00342
353,D00340
354,D00333
355,D00332
356,D00330
357,D00328
358,D00325
359,D00324
360,D00322
361,D00317
362,D00315
363,D00300
364,D00298
365,D00294
366,D00293
367,D00285
368,D00283
369,D00279
370,D00274
371,D00270
372,D00252
373,D00251
374,D00234
375,D00231
376,D00227
377,D00225
378,D00224
379,D00222
380,D00219
381,D00218
382,D00217
383,D00216
384,D00208
385,D00203
386,D00198
387,D00196
388,D00188
389,D00187
390,D00186
391,D00185
392,D00184
393,D00183
394,D00169
395,D00168
396,D00160
397,D00158
398,D00155
399,D00153
400,D00151
401,D00148
402,D00145
403,D00142
404,D00141
405,D00139
406,D00136
407,D00132
408,D00131
409,D00130
410,D00129
411,D00127
412,D00126
413,D00125
414,D00120
415,D00118
416,D00109
417,D00107
418,D00103
419,D00097
420,D00094
421,D00086
422,D00070
423,D00065
424,D00055
425,D00054
426,D00052
427,D00050
428,D00049
429,D00045
430,D00043
431,D00041
432,D00039
433,D00038
434,D00037
435,D00036
436,D00035
437,D00032
438,D00029
439,D00027
440,D00021
441,D00018
442,D00014
443,D00007
444,D00005
445,D00002
