Num_feature,Accuracy,Feature
4,0.9722222222222222,"AAC_4, fp2_23, fp2_191, fp2_101"
5,0.9722222222222222,"AAC_4, fp2_23, fp2_191, fp2_101, fp2_1"
6,0.9722222222222222,"AAC_4, fp2_23, fp2_191, fp2_101, fp2_1, fp2_2"
7,0.9722222222222222,"AAC_4, fp2_23, fp2_191, fp2_101, fp2_1, fp2_2, fp2_4"
8,0.9722222222222222,"AAC_4, fp2_23, fp2_191, fp2_101, fp2_1, fp2_2, fp2_4, fp2_6"
9,0.9722222222222222,"AAC_4, fp2_23, fp2_191, fp2_101, fp2_1, fp2_2, fp2_4, fp2_6, fp2_11"
10,0.9722222222222222,"AAC_4, fp2_23, fp2_191, fp2_101, fp2_1, fp2_2, fp2_4, fp2_6, fp2_11, fp2_7"
3,0.9166666666666666,"AAC_4, fp2_23, fp2_191"
2,0.8611111111111112,"AAC_4, fp2_23"
1,0.7777777777777778,AAC_4
