,drug_name
0,D06238
1,D05458
2,D05407
3,D05353
4,D05341
5,D04983
6,D04966
7,D04292
8,D04197
9,D04092
10,D04031
11,D04029
12,D04028
13,D04025
14,D04024
15,D04023
16,D03899
17,D03882
18,D03845
19,D03829
20,D03828
21,D03826
22,D03823
23,D03822
24,D03816
25,D03807
26,D03806
27,D03805
28,D03803
29,D03798
30,D03788
31,D03787
32,D03784
33,D03781
34,D03778
35,D03776
36,D03775
37,D03773
38,D03772
39,D03769
40,D03767
41,D03765
42,D03763
43,D03760
44,D03758
45,D03756
46,D03753
47,D03752
48,D03751
49,D03745
50,D03743
51,D03741
52,D03738
53,D03736
54,D03735
55,D03734
56,D03733
57,D03731
58,D03728
59,D03722
60,D03720
61,D03717
62,D03716
63,D03714
64,D03712
65,D03710
66,D03689
67,D03670
68,D03643
69,D03601
70,D03440
71,D03433
72,D03365
73,D03350
74,D03260
75,D03252
76,D03218
77,D03217
78,D03208
79,D03115
80,D03077
81,D03034
82,D03012
83,D02880
84,D02835
85,D02769
86,D02756
87,D02731
88,D02729
89,D02709
90,D02698
91,D02671
92,D02655
93,D02581
94,D02580
95,D02579
96,D02566
97,D02564
98,D02563
99,D02562
100,D02561
101,D02560
102,D02559
103,D02558
104,D02556
105,D02487
106,D02451
107,D02441
108,D02418
109,D02375
110,D02368
111,D02356
112,D02355
113,D02350
114,D02342
115,D02341
116,D02335
117,D02333
118,D02328
119,D02323
120,D02321
121,D02315
122,D02308
123,D02304
124,D02290
125,D02289
126,D02267
127,D02258
128,D02229
129,D02214
130,D02194
131,D02193
132,D02176
133,D02173
134,D02168
135,D02166
136,D02115
137,D02110
138,D02068
139,D02042
140,D02017
141,D02008
142,D01984
143,D01981
144,D01977
145,D01974
146,D01973
147,D01968
148,D01966
149,D01918
150,D01915
151,D01911
152,D01907
153,D01900
154,D01888
155,D01885
156,D01866
157,D01862
158,D01844
159,D01842
160,D01840
161,D01828
162,D01825
163,D01811
164,D01767
165,D01765
166,D01747
167,D01718
168,D01715
169,D01712
170,D01709
171,D01704
172,D01690
173,D01688
174,D01667
175,D01665
176,D01582
177,D01578
178,D01565
179,D01549
180,D01547
181,D01513
182,D01475
183,D01441
184,D01432
185,D01425
186,D01397
187,D01370
188,D01367
189,D01364
190,D01346
191,D01332
192,D01325
193,D01276
194,D01275
195,D01264
196,D01256
197,D01240
198,D01228
199,D01223
200,D01211
201,D01198
202,D01196
203,D01183
204,D01180
205,D01164
206,D01136
207,D01133
208,D01122
209,D01119
210,D01118
211,D01097
212,D01071
213,D01069
214,D01064
215,D01061
216,D01027
217,D01001
218,D00998
219,D00995
220,D00994
221,D00970
222,D00969
223,D00968
224,D00965
225,D00964
226,D00963
227,D00960
228,D00947
229,D00904
230,D00903
231,D00902
232,D00900
233,D00893
234,D00892
235,D00889
236,D00887
237,D00885
238,D00884
239,D00882
240,D00829
241,D00827
242,D00826
243,D00813
244,D00810
245,D00805
246,D00786
247,D00785
248,D00781
249,D00771
250,D00762
251,D00753
252,D00752
253,D00749
254,D00733
255,D00726
256,D00709
257,D00703
258,D00691
259,D00670
260,D00667
261,D00658
262,D00656
263,D00655
264,D00654
265,D00653
266,D00652
267,D00651
268,D00650
269,D00630
270,D00625
271,D00624
272,D00623
273,D00622
274,D00621
275,D00620
276,D00596
277,D00593
278,D00584
279,D00579
280,D00577
281,D00574
282,D00569
283,D00568
284,D00567
285,D00566
286,D00563
287,D00562
288,D00560
289,D00550
290,D00549
291,D00547
292,D00546
293,D00545
294,D00544
295,D00543
296,D00542
297,D00538
298,D00537
299,D00536
300,D00535
301,D00533
302,D00530
303,D00528
304,D00521
305,D00519
306,D00518
307,D00516
308,D00515
309,D00513
310,D00512
311,D00510
312,D00505
313,D00503
314,D00501
315,D00496
316,D00494
317,D00488
318,D00487
319,D00475
320,D00463
321,D00459
322,D00455
323,D00454
324,D00452
325,D00451
326,D00449
327,D00448
328,D00437
329,D00434
330,D00425
331,D00423
332,D00421
333,D00418
334,D00417
335,D00416
336,D00414
337,D00410
338,D00401
339,D00398
340,D00394
341,D00391
342,D00387
343,D00383
344,D00380
345,D00377
346,D00371
347,D00369
348,D00364
349,D00362
350,D00359
351,D00342
352,D00340
353,D00333
354,D00332
355,D00330
356,D00328
357,D00325
358,D00324
359,D00322
360,D00317
361,D00315
362,D00300
363,D00298
364,D00294
365,D00293
366,D00285
367,D00283
368,D00279
369,D00274
370,D00270
371,D00252
372,D00251
373,D00234
374,D00231
375,D00227
376,D00225
377,D00224
378,D00222
379,D00219
380,D00218
381,D00217
382,D00216
383,D00208
384,D00203
385,D00198
386,D00196
387,D00188
388,D00187
389,D00186
390,D00185
391,D00184
392,D00183
393,D00169
394,D00168
395,D00160
396,D00158
397,D00155
398,D00153
399,D00151
400,D00148
401,D00145
402,D00142
403,D00141
404,D00139
405,D00136
406,D00132
407,D00131
408,D00130
409,D00129
410,D00127
411,D00126
412,D00125
413,D00120
414,D00118
415,D00109
416,D00107
417,D00103
418,D00097
419,D00094
420,D00086
421,D00070
422,D00065
423,D00055
424,D00054
425,D00052
426,D00050
427,D00049
428,D00045
429,D00043
430,D00041
431,D00039
432,D00038
433,D00037
434,D00036
435,D00035
436,D00032
437,D00029
438,D00027
439,D00021
440,D00018
441,D00014
442,D00007
443,D00005
444,D00002
