,drug_name
0,D06396
1,D06056
2,D05938
3,D05792
4,D05740
5,D05341
6,D05312
7,D05246
8,D05129
9,D05113
10,D04979
11,D04716
12,D04625
13,D04375
14,D04040
15,D04034
16,D04006
17,D03966
18,D03881
19,D03880
20,D03879
21,D03858
22,D03654
23,D03642
24,D03621
25,D03503
26,D03490
27,D03442
28,D03415
29,D03365
30,D03274
31,D03210
32,D03187
33,D03165
34,D02910
35,D02884
36,D02826
37,D02725
38,D02721
39,D02671
40,D02614
41,D02588
42,D02578
43,D02566
44,D02374
45,D02361
46,D02359
47,D02358
48,D02357
49,D02356
50,D02354
51,D02349
52,D02342
53,D02340
54,D02338
55,D02327
56,D02279
57,D02278
58,D02250
59,D02237
60,D02234
61,D02150
62,D02149
63,D02147
64,D02082
65,D02076
66,D02070
67,D02066
68,D02007
69,D01994
70,D01973
71,D01965
72,D01964
73,D01925
74,D01891
75,D01871
76,D01828
77,D01782
78,D01745
79,D01717
80,D01713
81,D01712
82,D01699
83,D01692
84,D01652
85,D01603
86,D01462
87,D01454
88,D01441
89,D01390
90,D01386
91,D01358
92,D01352
93,D01346
94,D01332
95,D01324
96,D01297
97,D01295
98,D01269
99,D01242
100,D01236
101,D01227
102,D01164
103,D01126
104,D01118
105,D01103
106,D01071
107,D01051
108,D01024
109,D01022
110,D01020
111,D00996
112,D00987
113,D00965
114,D00954
115,D00845
116,D00838
117,D00837
118,D00790
119,D00780
120,D00779
121,D00775
122,D00769
123,D00765
124,D00760
125,D00726
126,D00715
127,D00688
128,D00687
129,D00684
130,D00683
131,D00682
132,D00676
133,D00675
134,D00674
135,D00673
136,D00666
137,D00665
138,D00646
139,D00645
140,D00635
141,D00632
142,D00627
143,D00613
144,D00609
145,D00607
146,D00606
147,D00604
148,D00601
149,D00598
150,D00574
151,D00563
152,D00560
153,D00559
154,D00542
155,D00540
156,D00528
157,D00525
158,D00524
159,D00523
160,D00522
161,D00521
162,D00520
163,D00514
164,D00513
165,D00509
166,D00503
167,D00499
168,D00498
169,D00494
170,D00493
171,D00483
172,D00480
173,D00465
174,D00454
175,D00451
176,D00443
177,D00442
178,D00440
179,D00437
180,D00432
181,D00426
182,D00422
183,D00419
184,D00415
185,D00411
186,D00410
187,D00400
188,D00397
189,D00394
190,D00380
191,D00371
192,D00364
193,D00356
194,D00336
195,D00332
196,D00318
197,D00306
198,D00301
199,D00300
200,D00295
201,D00283
202,D00281
203,D00274
204,D00270
205,D00255
206,D00241
207,D00235
208,D00234
209,D00232
210,D00227
211,D00225
212,D00180
213,D00139
214,D00136
215,D00113
216,D00110
217,D00106
218,D00095
219,D00094
220,D00079
221,D00059
222,D00049
