,drug_name
0,D06172
1,D06106
2,D05461
3,D05458
4,D05453
5,D05156
6,D05077
7,D05024
8,D04999
9,D04985
10,D04790
11,D04370
12,D04048
13,D04034
14,D03991
15,D03878
16,D03830
17,D03826
18,D03742
19,D03580
20,D03450
21,D03365
22,D03274
23,D03180
24,D03037
25,D02914
26,D02630
27,D02566
28,D02546
29,D02485
30,D02461
31,D02409
32,D02362
33,D02360
34,D02356
35,D02347
36,D02272
37,D02262
38,D02261
39,D02253
40,D02237
41,D02234
42,D02207
43,D02204
44,D02173
45,D02163
46,D02101
47,D02098
48,D02092
49,D02088
50,D02087
51,D02086
52,D02041
53,D01969
54,D01854
55,D01828
56,D01799
57,D01768
58,D01712
59,D01603
60,D01599
61,D01575
62,D01453
63,D01450
64,D01448
65,D01350
66,D01295
67,D01287
68,D01275
69,D01256
70,D01253
71,D01243
72,D01242
73,D01118
74,D01111
75,D01108
76,D01071
77,D00964
78,D00963
79,D00960
80,D00831
81,D00823
82,D00816
83,D00812
84,D00809
85,D00799
86,D00798
87,D00791
88,D00779
89,D00775
90,D00771
91,D00765
92,D00761
93,D00760
94,D00759
95,D00741
96,D00740
97,D00739
98,D00738
99,D00735
100,D00733
101,D00732
102,D00726
103,D00711
104,D00709
105,D00708
106,D00704
107,D00697
108,D00694
109,D00678
110,D00677
111,D00658
112,D00656
113,D00654
114,D00651
115,D00650
116,D00649
117,D00648
118,D00647
119,D00642
120,D00640
121,D00639
122,D00638
123,D00636
124,D00633
125,D00631
126,D00629
127,D00619
128,D00618
129,D00617
130,D00616
131,D00615
132,D00611
133,D00607
134,D00594
135,D00593
136,D00574
137,D00563
138,D00560
139,D00553
140,D00552
141,D00550
142,D00549
143,D00548
144,D00547
145,D00546
146,D00545
147,D00544
148,D00543
149,D00542
150,D00539
151,D00538
152,D00537
153,D00536
154,D00533
155,D00530
156,D00528
157,D00524
158,D00521
159,D00519
160,D00513
161,D00512
162,D00504
163,D00499
164,D00495
165,D00480
166,D00477
167,D00474
168,D00464
169,D00456
170,D00451
171,D00438
172,D00437
173,D00418
174,D00394
175,D00392
176,D00380
177,D00379
178,D00373
179,D00367
180,D00364
181,D00358
182,D00354
183,D00351
184,D00349
185,D00345
186,D00340
187,D00338
188,D00336
189,D00335
190,D00332
191,D00331
192,D00329
193,D00326
194,D00319
195,D00303
196,D00294
197,D00293
198,D00283
199,D00274
200,D00252
201,D00234
202,D00228
203,D00227
204,D00225
205,D00219
206,D00195
207,D00136
208,D00110
209,D00035
